alpha,boost,indep_mean,indep_ci95,field_mean,field_ci95,delta,delta_pct,verdict
0.95,0.02,0.9740,0.0138,0.9707,0.0138,-0.0033,-0.3,NEGATIVE
0.95,0.05,0.9734,0.0125,0.9723,0.0125,-0.0011,-0.1,NEGATIVE
0.95,0.10,0.9734,0.0108,0.9745,0.0108,+0.0011,+0.1,MODERATE
0.95,0.20,0.9734,0.0082,0.9773,0.0082,+0.0039,+0.4,MODERATE
0.90,0.02,0.9734,0.0137,0.9707,0.0137,-0.0027,-0.3,NEGATIVE
0.90,0.05,0.9734,0.0125,0.9723,0.0125,-0.0011,-0.1,NEGATIVE
0.90,0.10,0.9734,0.0108,0.9745,0.0108,+0.0011,+0.1,MODERATE
0.90,0.20,0.9734,0.0082,0.9773,0.0082,+0.0039,+0.4,MODERATE
0.80,0.02,0.9734,0.0138,0.9706,0.0138,-0.0028,-0.3,NEGATIVE
0.80,0.05,0.9734,0.0125,0.9723,0.0125,-0.0011,-0.1,NEGATIVE
0.80,0.10,0.9734,0.0108,0.9745,0.0108,+0.0011,+0.1,MODERATE
0.80,0.20,0.9734,0.0082,0.9773,0.0082,+0.0039,+0.4,MODERATE
0.70,0.02,0.9734,0.0139,0.9706,0.0139,-0.0028,-0.3,NEGATIVE
0.70,0.05,0.9734,0.0126,0.9722,0.0126,-0.0012,-0.1,NEGATIVE
0.70,0.10,0.9734,0.0108,0.9745,0.0108,+0.0011,+0.1,MODERATE
0.70,0.20,0.9734,0.0082,0.9773,0.0082,+0.0039,+0.4,MODERATE
